Date,ETH
2014-10-04,-1.7790743097007393
2014-10-05,0.03711766295650254
2014-10-06,-0.0040568006956144265
2014-10-07,0.028057952795157437
2014-10-08,0.15527934811863264
2014-10-09,0.21259744234368028
2014-10-10,-0.06353583202389312
2014-10-11,-0.0867463710254448
2014-10-15,0.009493742192251131
2014-10-16,0.1102305276394358
2014-10-17,-0.019943680967335398
2014-10-18,-0.5499504182582229
2014-10-20,0.3463978764211827
2014-10-21,0.13815033848081737
2014-10-22,-0.021739986636405917
2014-10-23,-0.02382956283298393
2014-10-27,0.11814024230422515
2014-10-28,0.0071174677688640164
2014-10-30,-0.08276508610817862
2014-10-31,-0.05381044889757214
2014-11-09,0.02091789866168081
2014-11-10,0.003179652917379705
2014-11-11,-0.003179652917379705
2014-11-12,0.06324389366002986
2014-11-13,0.07485507715672052
2014-11-14,-0.09447834834085994
2014-11-15,0.06348995328972107
2014-11-16,0.002857144800779865
2014-11-17,0.025353470686456603
2014-11-18,0.8433161708743471
2014-11-19,-0.8990847304252413
2014-11-20,0.08725644499722801
2014-11-21,0.018692133012152556
2014-11-22,-0.14799681425288003
2014-11-23,-0.06494760275505768
2014-11-26,0.13455378306221488
2014-11-27,0.009964495259431827
2014-11-28,-0.012829826732718208
2014-11-29,-0.045495740220134584
2014-11-30,-0.022780028331819913
2014-12-03,0.11863605967808216
2014-12-04,-0.20021604667050513
2014-12-07,0.15128944754622609
2014-12-08,-0.017341475036487086
2014-12-09,0.10375573013580053
2014-12-10,0.0013131978249604215
2014-12-11,0.03355153417123288
2014-12-12,-0.024407120352235162
2014-12-14,-0.010457611643958142
2014-12-15,-0.13334368732129664
2014-12-16,0.20679441331268014
2014-12-17,-0.20230002372484082
2014-12-18,0.140606454719501
2014-12-19,-0.011757156986043682
2014-12-20,0.049978369806241485
2014-12-21,-0.03692335410459785
2014-12-22,-0.010430342278872462
2014-12-23,-0.00789477784700826
2014-12-24,-0.024065332489247027
2014-12-25,-0.027436563227155097
2014-12-26,0.08271379211863936
2014-12-27,-0.009003276249958864
2014-12-31,-0.06954673469690092
2015-01-01,0.01648388972168935
2015-01-02,-0.01095901378971953
2015-01-04,0.001376462708723325
2015-01-05,-0.0712552046212443
2015-01-06,0.12871924193545448
2015-01-07,0.09057644315412589
2015-01-08,0.17776393471670676
2015-01-09,0.14660347419187544
2015-01-10,0.07594407034994821
2015-01-11,0.052643733485422034
2015-01-12,0.018678167214390973
2015-01-13,-0.09708822146404217
2015-01-14,-0.1606973480535726
2015-01-15,0.2503561148390944
2015-01-16,-0.15365366192438282
2015-01-17,0.054158750262147864
2015-01-18,-0.07081849550332309
2015-01-19,0.0765679979945843
2015-01-20,-0.04352151263863632
2015-01-21,-0.10735851832049934
2015-01-22,0.0
2015-01-23,-0.032916815013141885
2015-01-24,0.12214794874108445
2015-01-25,-0.07036264942355974
2015-01-26,-0.05080153140739206
2015-01-27,-0.09265883048270465
2015-01-28,-0.18816383241818302
2015-01-29,-0.039845908547199715
2015-01-30,0.3620803625056404
2015-01-31,-0.0009438415047064719
2015-02-02,-0.03850331237868168
2015-02-03,-0.17080811123846937
2015-02-04,-0.22635008372202997
2015-02-05,-0.1094239101150829
2015-02-06,0.3369374611004109
2015-02-07,-0.07733320340317032
2015-02-08,-0.02544666566116427
2015-02-09,-0.11024067461842674
2015-02-10,-0.12717956305246603
2015-02-11,-0.07285184838599518
2015-02-12,0.17674069343236531
2015-02-13,0.001471670611456255
2015-02-14,-0.2567915854324425
2015-02-15,0.2829178900246625
2015-02-16,-0.03498899185006532
2015-02-17,0.010332195237205355
2015-02-20,0.0844383191465744
2015-02-21,-0.186378357489569
2015-02-22,0.16040287108630835
2015-02-23,-0.03667547855840664
2015-02-26,-0.251930381487938
