event_date,alpha,beta_avg,beta_lagged,beta_current,beta_leading,r_squared,residual_std_error
2017-10-16,0.00027223064232694146,0.14753606480962922,0.3637337332503698,0.09473265804363161,-0.01585819686511377,0.2574299162361122,0.04150754388540814
2019-02-28,-0.0008758544878423769,0.6098643428409526,0.7172399829726614,0.830303731640107,0.2820493139100895,0.7752873232396951,0.016848578691444818
2019-12-08,0.0020593706627545774,0.41733088876491103,0.7034713349006205,0.5426004604991472,0.005920870894965485,0.792443728486028,0.012108077138154202
2020-01-02,-0.005099799045881444,0.22700727272208962,0.589052931193843,0.2920460546781787,-0.20007716770575296,0.7086537658259494,0.011705725945482396
2020-10-14,-0.0010537236515659187,0.5074106702094655,0.7791763085585967,0.6177097469994154,0.12534595507038457,0.5778637896073722,0.016606163858891045
2020-12-01,-0.0031903395078071994,0.42081178100797517,0.6370426358743291,0.4171787688320742,0.20821393831752216,0.4485289192535433,0.021872138617044984
2021-04-15,0.00029776467599781833,0.29592959997314394,0.5003320190855318,0.44736239007245293,-0.059905609238552926,0.5597420046522787,0.019836044892852296
2021-08-05,-0.0011185900674705353,0.38263310633783726,0.440056351193845,0.7953415528040009,-0.08749858498433383,0.588489422213849,0.0261274019218392
2021-10-27,-0.0012641952826932526,0.2840803553442654,0.45793584235855767,0.3495080741782618,0.04479714949597667,0.6287062106003158,0.019792369315776322
2021-12-09,0.0035474489908423616,0.3205470001810437,0.45489667687026825,0.5468898019036186,-0.04014547823075563,0.6558874017221609,0.0181671854718836
2022-06-30,-0.002739101587889998,0.41584963527137425,0.4775853400841542,0.6500223899877374,0.11994117574223116,0.7007269197451904,0.02878653236759072
2022-09-06,0.0020773518325865672,0.45241671915075304,0.8169566455230607,0.6283478684726108,-0.08805435654341243,0.7553948006911414,0.018507986956382057
2022-09-15,0.004503674556233534,0.46252967031253384,0.8720295365030334,0.48133520547569497,0.03422426895887315,0.6537368168321056,0.022739363009658307
2023-04-12,-0.0007861833527322725,0.33271654999758027,0.6294971389302982,0.4097630088406652,-0.04111049777822273,0.8187417840503576,0.012986278821522165
2024-03-13,0.004711511637990017,0.24684006782597523,0.4938336764229934,0.15527430212578913,0.09141222492914314,0.5802382975191152,0.010174461559038665
