Date,BTC,ETH,XRP,LTC,BCH,ZEC,BSV,DASH,XMR,CRIX
2017-09-08,-0.022803005136736942,-0.03602086605485244,0.01801850550267825,-0.03683716131018855,-0.020231026954563802,-0.03762446966331279,0.0,-0.006282712792428313,0.014305407058166075,-0.014211335367332545
2017-09-09,-0.04120093819619974,-0.056460831223321684,-0.06931179989022884,-0.07920130004154302,-0.08541149581887453,-0.0734078910356617,0.0,-0.04776104453445473,-0.04712616232304967,-0.026125077161208488
2017-09-10,-0.024091914838786366,-0.028771471570568252,-0.03406655456360608,-0.05721105225843992,-0.05459144298385343,-0.024822618532054364,0.0,-0.03241339823237244,-0.041688180609543934,0.009530191913248665
2017-09-11,0.003544845966539256,0.010539798287078739,0.05770831762064654,0.012929597856835784,0.0036629558034588783,0.00799192025593154,0.0,0.017270031067487146,0.009435038008645869,-0.015231481054503782
2017-09-12,0.00752059948882966,0.018425776175081232,0.018519047767237673,0.012851127614852409,-0.011267378922486415,0.006523928327370143,0.0,0.01063849662038674,0.007645930223479702,-0.0548869305803823
2017-09-13,-0.07661457809886407,-0.09198437875005983,-0.06637506894487277,-0.10836447315122477,-0.09369620683249025,-0.0845697228089266,0.0,-0.07290867819265845,-0.05480069736521198,-0.2439594870869941
2017-09-14,-0.08105434154838065,-0.0823231122501662,-0.02985296314968111,-0.1179800288969366,-0.09790279976286609,-0.06573253395322354,0.0,-0.09231201957586421,-0.03292331090381584,0.1409338894803671
2017-09-15,-0.06161881103423639,-0.06873556985250584,-0.1643030512912762,-0.142801658049446,-0.13073981933504264,-0.09184442403122173,0.0,-0.045083195063335246,-0.12466448711164979,0.0033963126835878654
2017-09-16,0.08465193875459853,0.0797993915249533,0.09639184567506587,0.10012718582998792,0.08619927345174805,0.06491934479990835,0.0,0.11368159136906009,0.0746248359104138,-0.005353344718045605
2017-09-17,-0.017293054559301524,-0.018173010010059443,-0.067064230580546,-0.03534086069107012,-0.008583665536592733,-0.0307180138080847,0.0,0.009364954324672325,-0.04609471763819517,0.12063182596963085
2017-09-18,0.07682980290321417,0.13101151798079247,0.07245507921542238,0.07199034372075896,0.07727595537539411,0.08626451758370823,0.0,0.11141551212931766,0.0573810331325868,-0.017806878990342945
2017-09-19,0.004030232155420421,-0.0035697737313400424,-0.010810916104215584,-0.014133409726500457,0.03883332399625328,-0.009912231780376146,0.0,-0.02198276574431457,-0.024169447334132954,-0.016925058718248565
2017-09-20,-0.005040333251406182,-0.003167998587844778,0.0,-0.022893780999695856,0.0229009731574914,-1.0513533545974951e-05,0.0,0.022449730957904812,-0.013361397896095362,-0.07175898394273084
2017-09-21,-0.03784722528865103,-0.035032607939762705,-0.021978906718775226,-0.05469810134788533,-0.08640209964781231,-0.02646822474945587,0.0,0.03855001555949045,-0.04491383535857363,0.0061472954830303905
2017-09-22,-0.0445352564311019,-0.05246270786512319,-0.03966525639243157,-0.06254674403108629,-0.10158921859243897,0.03283491947216888,0.0,-0.010591973184538972,-0.05739444062594856,0.04464978284951027
2017-09-23,0.024391453124160023,0.04609744299083118,0.011494379425735168,0.031854885863128235,0.018644871949659247,0.08934960944247106,0.0,0.022974570485236434,0.03178627706219217,-0.019081268806662166
2017-09-24,-0.005907643389837958,0.03633471229952345,0.0,-0.009010187015129123,0.00122224500854351,-0.02372944361023599,0.0,-0.018560885565078955,1.1094407863510014e-05,0.04421429983820868
2017-09-25,0.031546684913671186,0.020656293808419157,0.011363758650315026,0.03872397190931176,0.03524226097842309,0.08734558551766636,0.0,-0.007605395601492759,0.022954973867913786,-0.003182142223823625
2017-09-26,0.02474353038360455,0.003341233064455551,0.027856954502966325,0.05054412218775273,0.03320977277444115,0.04063550363266444,0.0,0.007941430737707478,0.02011531233105135,0.06660536953902518
2017-09-27,0.02935116001823701,0.015222109144553464,0.058683501828090234,0.027785806106263244,-7.912557452538493e-05,0.16274142346671727,0.0,0.0005096308761283197,0.03309040910559791,-0.010562084405541405
2017-09-28,0.03760297477886709,0.025056736625743703,0.030614635819606884,0.026926735663944434,0.014298708797522153,0.16912103326131334,0.0,-0.0015992586558430943,0.0213699210768441,-0.008936363810579273
2017-09-29,-0.010531452052342516,-0.03903558279669195,-0.035809452696710986,-0.04605447902709292,-0.03967090515567673,-0.10966624217674248,0.0,-0.04414577763761063,-0.043584856383820814,0.033353752389172264
2017-09-30,0.031733659702945616,0.027781574758713568,0.030771658666753687,0.031405717691975976,-0.002062740519254369,-0.016397712011120724,0.0,0.0030711300320760415,0.004384269826831044,0.008834112936320082
2017-10-01,0.0076628727455680945,-0.0027093936067110747,0.0,-0.007837576057342588,-0.04171023756396508,-0.039311387163249556,0.0,-0.025308125010655935,-0.01740863490150879,0.0018601013428538593
2017-10-02,0.02241630915861137,-0.0026833751940733563,0.02985296314968111,-0.004403467240181591,-0.015265732774993879,-0.048935568067277835,0.0,-0.021846091605170592,-0.01831344371255028,-0.014014782119057934
2017-10-03,-0.021722587313238506,-0.02028493108699969,-0.01481508578514057,-0.03510187139532661,-0.03072098766837783,-0.046029954126922235,0.0,-0.051430150290916465,-0.022718900828250455,-0.015129702723167604
2017-10-04,-0.014670189747793216,-0.00033046195133579204,0.01481508578514057,-0.006831728739530529,-0.06119957164365708,-0.021498365555023824,0.0,0.016096867147957994,0.009079223373920087,0.01612292225009515
2017-10-05,0.0011721956564336722,-0.00046692103918566374,0.08455738802806323,-0.014117516504144056,-0.0743074559371486,-0.009684090475177598,0.0,-0.010358685953722357,-0.007427347454370903,0.02032467431409657
2017-10-06,0.024075236874784522,0.0239487629459445,0.06959329179919505,0.019590458373688335,0.03615914209712745,0.07168288069689499,0.0,0.019389397648393647,0.016599213386162326,0.010721427182954102
2017-10-07,-0.001831502343467406,0.028392924390911567,-0.008438868645864517,-0.006301290709543217,-0.018903842751027966,-0.02741949661206977,0.0,-5.52749359199467e-05,-0.009963840629997556,0.03036654680275319
2017-10-08,0.03246452820670598,0.008741838104941557,0.025105921131076236,0.022580344491447857,-0.011173737241526815,-0.006172810130206763,0.0,0.014275994981633566,0.004183761929441587,0.003585935891973868
2017-10-09,0.03208831455149941,-0.031850085351403656,0.09455858262501282,-0.03004710774918795,-0.09290579468247717,-0.06338463896004587,0.0,-0.06360573795119695,-0.0319208607762711,0.009217606338437712
2017-10-10,0.035868824061919824,-0.008481628931150453,-0.06203539091945265,-0.02014208260960393,-0.002173957472654031,-0.00973081979557211,0.0,-0.02007778795378279,-0.01900511758303125,0.008128090359962314
2017-10-11,-0.006028497625681695,0.005049102822527907,0.05826890812397578,0.0013858369702277606,-0.02856670637494929,0.008033473188852724,0.0,0.02026564905325401,0.0032693310881075632,0.0644420272822801
2017-10-12,0.05674131268687255,0.014338097130855765,-0.015209418663528762,0.04434681606334845,0.000762054790513389,-0.014273521952828716,0.0,0.007010956916871258,0.006403999455117493,0.06128088380610475
2017-10-13,0.10020540691669488,0.058023511025468544,-0.047067510857985884,0.09245347313423569,-0.013060304356597996,0.009714641388408829,0.0,0.014628437520061155,0.02713814197135722,0.00768342866931615
2017-10-14,0.011693967419754259,0.05367858818909799,0.062276929521514646,0.05785601786681305,0.028199460951805477,0.020142122951424923,0.0,0.044882961755795314,0.0558578680762194,0.0024722583616432203
2017-10-15,-0.007958305332849136,-0.027612062575567364,-0.026770241064604905,0.05816935249841748,-0.01824817492752384,-0.0265622510635799,0.0,-0.03020850500341865,0.00454052906938518,-0.0001209072117358545
2017-10-16,0.008486613877320082,0.022288113576207635,0.04915923595808369,-0.01194768422127268,0.0006811230517920208,0.002448790016733149,0.0,0.007886481381364163,-0.004109709717882382,-0.023161622541509885
2017-10-17,-0.008309072820484431,-0.045549544981396295,-0.04915923595808369,-0.04568442335380407,0.09884605922961676,-0.0005141344231978096,0.0,-0.017044799899013974,-0.011453329773989829,-0.01203544199747597
