,2017-10-16,2019-02-28,2019-12-08,2020-01-02,2020-10-14,2020-12-01,2021-04-15,2021-08-05,2021-10-27,2021-12-09,2022-06-30,2022-09-06,2022-09-15,2023-04-12,2024-03-13
0,-0.053454121282211386,-0.00926036984247819,-0.003886135495964612,0.030012604648403225,0.005026994401836893,-0.012497006428594509,0.03052425865830131,0.027124876047400694,-0.024009120405244548,0.008865022310472412,-0.030642611372637428,0.0010589343070114363,-0.003866705144950782,-0.005154230933334626,-0.01288763402668311
1,-0.027033746582669292,0.006728669028811869,0.009197281925997452,0.012135977121222632,0.00220386534694182,-0.026994611662489263,-0.011483995379202855,-0.001678075917525886,-0.018552080615506054,0.025679412140400384,0.01892543159515058,-0.016922738966216207,-0.0008301410233229889,-0.001959495723989379,-0.0012479790736047158
2,0.013158800887742204,-0.01977078061280359,0.0019400503638659604,0.029194988764878894,0.0041032012295543615,-0.025094545312428745,-0.030833489387291586,0.03719987576976381,-0.058654029861331364,-0.0030392473099593734,-0.019741160662044073,-0.02913828041986514,0.0737099443178077,-0.0005116806754786865,0.0032783146122268812
3,0.022456131713681736,-0.003717600812408279,0.004137850870712929,0.0016950148526595201,0.053392172148019064,-0.012161714313875426,-0.002414299317976666,-0.039612431619924525,0.04020499167295904,-0.006513769359166656,-0.029600106023891043,0.024065140614021176,-0.004322034991879516,0.006726308697039666,0.001752769891090241
4,-0.08122485707416127,-0.0004460266475064343,0.015942346321436297,0.005217358174084741,-0.004274652539947573,-0.024905178461642682,-0.001801914667283168,0.029235748414534884,-0.020926694785161234,-0.018319781743969952,0.0019769580674847444,-0.010320793714451762,0.044152082657785405,-0.07507980535191576,0.0020013951611362914
5,-0.08526209618460885,-0.009916690204029289,0.015830584071471417,-0.01870687732347078,0.01556727849786605,-0.025008176523316175,0.03494059120474952,0.02587790522274479,-0.01709034401588546,0.014153129012421793,0.01900132413249934,0.012307021109318285,-0.0005702177402183116,0.014983702370358629,-0.007167792995848049
6,-0.06677953770694667,-0.03984556358452986,0.002331245462957064,0.0077434879459122585,0.00961389305440394,-0.001815125896817444,-0.025309269988166964,0.011314442692098605,0.00484669122215021,0.0040262238711993165,0.026401294532637003,0.03467096791599645,-0.023606625008949077,-0.009484229329000692,-0.007665585296621854
7,0.082066827395029,-0.010138851040986564,0.009186343346889485,0.0030033729879090235,-0.020798520669779323,-0.002741969976495425,-0.01929061205461631,0.0029798439663700944,0.056048875528123994,0.014560712543668254,0.047746271801092074,-0.017484478360052506,-0.015242466294934635,0.04839337096685752,-0.008900635255734904
8,-0.020389435574224013,-0.011440354035372,-0.006409901432147486,-0.0049378938523230755,0.003999954945961774,0.0006125276361623215,-0.017015084146891193,0.03139724181487423,-0.041875908131597264,0.003906242772099394,0.016987726800601913,0.02106785635134474,0.0012016313495135022,0.03552250936890796,0.027970426807859182
9,0.13372217999993588,0.01615538686551646,0.009288263671706333,0.00023403202750425713,-0.024312473026029475,-0.04175201825340116,0.019148939834701163,-0.037048761411755136,-0.013604893550210414,-0.015705343456380194,-0.038883129502888435,0.0015620280212601464,-0.005053749679888485,-0.00572385615347085,0.005285850905696266
