event_date,alpha,beta,residual_std,n_obs,r_squared
2017-10-16,-0.002076908240558539,0.03559039059728737,0.046220940583496045,31,0.002367736843971624
2019-02-28,0.003345052036643924,0.8788089456872082,0.02452567337966459,31,0.44815060100472426
2019-12-08,-0.0028069901923993812,0.5455102311814479,0.02091084701939656,31,0.29793411767168776
2020-01-02,-0.003677204980303018,0.21441203375832185,0.020319697620388565,31,0.07219239950627754
2020-10-14,-0.0006300330081863,0.408600303095304,0.022845186248131855,31,0.11986454586827733
2020-12-01,0.008304402217418119,0.327459081382231,0.02633937486944607,31,0.10835695541016876
2021-04-15,0.0029837506395333515,0.4458496333036894,0.025328143951864383,31,0.25092706914800844
2021-08-05,0.0006531129311712459,0.8407307853232403,0.028723701188085867,31,0.4688355078358175
2021-10-27,0.00041792264981199424,0.5147189743612935,0.02679301197332031,31,0.40268345969543706
2021-12-09,0.00228405380641657,0.49160031721319875,0.024193366957569976,31,0.34454472956420457
2022-06-30,-0.012860983623534782,0.5951657480203144,0.03777771109098882,31,0.413803032914983
2022-09-06,-0.0008130737272362937,0.5071611795682389,0.0318966095643891,31,0.20945047267464367
2022-09-15,-0.000686546338087894,0.3288401415492458,0.03582504224707538,31,0.0816312973742036
2024-03-13,0.014920504543228455,0.06629591032105046,0.014868814005308133,31,0.011881671582428366
