relative_day,2017-10-16,2019-02-28,2019-12-08,2020-01-02,2020-10-14,2020-12-01,2021-04-15,2021-08-05,2021-10-27,2021-12-09,2022-06-30,2022-09-06,2022-09-15,2023-04-12,2024-03-13
-3,0.0580235110254685,-0.1052300096657212,0.0009801702224905,0.0163993595142839,-0.0007818587750927,0.0213573818908159,0.003265689862884,0.0,0.008370309824965,-0.0067551523461464,-0.0204506104712915,-0.0222160834793552,-0.0177198120269101,-0.0096774948820659,0.0017886806864186
-2,0.0536785881890979,-0.0132086977368484,0.0134024804133483,-0.0172567940167107,0.0155564805721137,0.0459833600710002,0.035235857491692,-0.0340875314575583,0.0184605679719904,0.0516563366859657,-0.0158270692354864,0.0012828738128893,-0.0424091819250929,0.010747013700592,0.0154531257480865
-1,-0.0276120625755673,-0.0019012802802347,-0.001047193849887,-0.0028888131871642,0.008615751407869,0.0759980075485575,0.0580822475656583,0.0298412405761077,0.0119618651175006,0.0009191177117617,-0.0587896146168569,0.0127390257774298,-0.0380180671875214,0.0221996431661635,0.0057651494433184
0,0.0222881135762076,0.0016090108057005,0.0055768287484561,-0.0141998613701339,-0.0055033141655718,0.0159787925338212,0.0427717259902769,0.0516413962688817,-0.0309128695877962,-0.0155077751965144,-0.0700747438679059,0.0342179573103411,-0.0240365778282409,-0.0115669007817951,0.0029947614096812
1,-0.0455495449813962,-0.0025317024944406,-0.0023054880137935,0.0154932568653061,-0.0088730320868029,-0.0175717414184237,-0.0106253553789361,0.0343055846649615,0.0104917395243191,-0.0492451311921708,0.0179843938552526,-0.055325232758288,-0.0709611507940382,0.0404200099806679,-0.0221727400504079
2,-0.0644571705200629,-0.0205924243558826,-0.0163092650096121,0.0235937972223494,-0.0189693362049183,0.0220307257225975,-0.005355316609414,0.0712386025885694,0.057077504418002,-0.0158067010465234,-0.0113208756244818,0.0522624432277423,-0.007588860152822,0.0634587103171169,-0.053373901869886
3,0.01636166314342,-0.0053165489007405,-0.0144646801893522,0.0219317666517442,-0.0061962687214283,-0.0143942143638131,-0.1034806003881145,0.0193163642182785,-0.007363125765039,0.0123702715479421,0.0075614727005763,0.0414598278711242,-0.0167601688574645,-0.0019083975257601,-0.0121672448710459
4,-0.0097280255619107,-0.0460350027904423,-0.0135499310677591,0.0276353502690547,0.0157018160990949,-0.0167114682099027,0.0136489835011062,-0.0104303422788731,-0.0104469899646542,-0.0347752364328695,0.0251059211310762,0.0180815658198918,-0.0654779293795071,0.0042887842722176,-0.0267417727095509
5,-0.0285851550091669,0.0320888946551791,0.0089296196411226,0.0117535592910869,0.0116232706491112,0.0147373489674915,-0.0104475172405029,0.0265130305116176,0.0044242708097392,-0.0347095189793957,0.039609138095046,0.0200292818755727,0.0171454069549881,-0.007158226700171,-0.0036389123429394
6,-0.0062551389087985,0.0461068363182066,-0.0073594333973874,0.0002653686894484,-0.0105928655820237,-0.0033824773712023,0.0705137843276579,0.023649218193892,0.0281773308905215,0.0182820448374485,0.0079121291879493,-0.0177198120269101,-0.017897569457542,0.0023917734434704,-0.0687725608480622
7,-0.0360700538676441,0.0038368236351917,-0.0070084304087334,-0.0272647647956603,0.0272942822844335,-0.0253333449817656,0.0538432320208226,-0.0319799296223202,0.0331031003274926,0.0433033853716402,0.0487067648115582,-0.0424091819250929,-0.033668061383925,-0.0355009320507493,-0.0111766757780635
8,0.0615779286120821,-0.0091512478348487,-0.0159047257068065,0.0044031960252564,0.0565102079739245,-0.0347366185268729,-0.0845218099133431,0.0285461819063623,-0.0107657856236755,-0.0365971440915569,0.0295830940345638,-0.0380180671875214,0.0223172017152348,-0.0357810908876894,0.0644056143714717
9,-0.0260117391242786,0.0015505239780644,-0.0795089277356035,0.0288624082360531,0.0154902971379984,0.0053246657960972,-0.0079295569677144,0.0225701341444839,-0.0050935776164315,0.0074273615871405,-0.0130401195808067,-0.0240365778282409,0.0121030221712441,-0.021785093907142,-0.0300687585074665
10,0.0029924063898985,-0.0074527581142804,-0.0352863607718632,0.0043769201556695,-0.0009402345947764,-0.029321519539069,-0.0008849558099663,-0.0191363864285261,-0.0109388299146164,0.0071192774632145,-0.0299772655028842,-0.0709611507940382,-0.0113422766039343,-0.0233432349988298,-0.0129987059206957
11,-0.0024141674326063,-0.0153732754185602,0.020815359609684,-0.0018052356722808,-0.0067602752841153,0.022957853593172,0.0892959131540189,0.0126956342139248,0.0274535727521847,-0.0222886132039707,-0.0335226920386437,-0.007588860152822,-0.0022839751078311,0.0005366246439475,0.0026726073814753
12,-0.0052298201321638,-0.0041733066732732,0.0032719483242775,0.0693560248526372,-0.0201085639091447,0.0390761195050544,0.0404656557354874,-0.026501940745506,0.033923390266656,0.0356271776431516,-0.0659381014919944,-0.0167601688574645,0.0366670331474319,-0.0080797638584115,0.041248949625297
13,0.0247764881449565,-0.0069541257062519,-0.0015411561719416,0.0640143983548613,-0.0042552565385012,0.0063171880769239,0.0392655739725968,-0.0383238011231696,0.0107087637541134,0.0037429862788336,-0.004679465721959,-0.0654779293795071,-0.037429518887766,-0.00869098354742,0.0277834624005972
14,0.016495063444136,-0.001316396894567,0.0130324245439474,-0.0156989287154978,-0.0138919455437829,0.0046688682779958,0.0225476194123341,-0.0006568144735297,-0.0123990240339892,-0.0064967744754547,0.0547582039738463,0.0171454069549881,0.015140334631412,0.032208903369618,-0.0144970478698613
15,0.0013458316287904,0.0217242757294657,0.0174540462321042,0.0399513921919716,-0.0133626023276054,0.0260219591450754,0.0069204428445734,0.0617834152560039,-0.0072156510015126,0.0252488660239915,0.0801793290276666,-0.017897569457542,0.0044977587068313,0.0,-0.0022490872567519
16,-0.0265276122237931,0.0450110554357543,-0.0250175614893493,0.0202303812294308,-0.0166067956433204,0.0771687174349846,0.039150907561825,0.0089162773634896,-0.005124931140255,-0.0061297237411057,0.0298770708629447,-0.033668061383925,-0.0105264129869873,0.0047430918960129,-0.0053619431413842
17,-0.0485688143425155,-0.0150840171145549,-0.0198580983109613,-0.012261507614923,0.0114996954290571,-0.0075174480191879,0.0203841917208293,-0.0148013803022628,-0.006012472482185,-0.0024624489172726,0.0743352448819729,0.0223172017152348,-0.0152325869901108,-0.0005259006169069,-0.0045377275821376
18,0.0356039557660219,-0.0040919299225121,0.0035025752888602,-0.0253203651256823,0.005805942784745,0.0152103641209313,0.078252196899748,0.0320981246765317,-0.0086524442026814,0.0046734804039427,0.0726297752844109,0.0121030221712441,0.0007671653617533,0.0021019450723729,0.0235966004383971
19,0.0142948948639949,-0.0019943932384665,-0.0047203036645377,0.010819650146514,0.0036558144002132,-0.0113790955804748,0.0562619547929124,-0.0157674582527018,0.0133795694642024,-0.0449203609125365,0.0599780003907355,-0.0113422766039343,0.0302137785964964,-0.0330873298909786,-0.0187759474052278
20,-0.0056262895445611,0.0002242063286201,0.0155913380425847,0.0038673047495629,-0.0255949406103654,-0.0381682512505268,0.004771855162776,-0.0266352072526441,-0.0791499301836502,-0.0312851374970346,0.0090148710962161,-0.0022839751078311,0.0022296553272687,0.0010845988048044,-0.0591405750439406
21,0.0016107440084685,-0.0048133823514353,0.026679111659611,-0.0301181902600342,0.0223499820543215,-0.016942718125577,0.0353682926030298,-0.0174137691435873,-0.0265679197642025,-0.0192519314993209,-0.0246605618219515,0.0366670331474319,0.0132745312086965,0.0123890623141607,-0.0051151006667709
