relative_day,2017-10-16,2019-02-28,2019-12-08,2020-01-02,2020-10-14,2020-12-01,2021-04-15,2021-08-05,2021-10-27,2021-12-09,2022-06-30,2022-09-06,2022-09-15,2023-04-12,2024-03-13
-3,0.056617697553025176,-0.11914079711247634,-0.009688781284669566,0.026091391159377385,-0.003872689286581088,0.007128636566828772,0.00037483855453031506,0.0008154057524949066,0.012426397908132493,-0.019261079103441908,-0.012707256537696283,-0.021839549051577395,-0.025618057542786468,-0.01235873107621707,-0.004236968885558248
-2,0.05304161027690142,-0.006439393971546588,0.005419538049424253,-0.0102604905997891,0.007706764579294931,0.038734642369566724,0.016591220109217174,-0.02326820362646314,0.010825004510866636,0.048606166112172056,0.0005917250928597073,-0.0056396801928387755,-0.0050518514948781,-0.000843099568201203,-0.00011465873135465751
-1,-0.027866455043667634,-0.0011385191228975647,-0.002666458456443122,0.0019798552490035656,0.014605278050934301,0.04647886163176704,0.056579692226686254,0.013317640993121108,0.022198320717106083,-0.006221493786838197,-0.04930488839000222,0.010260559271185394,-0.04916024453944413,0.019557062697111615,0.004335394124079935
0,0.025433057578261017,0.002395204330004512,0.0016129228111338469,-0.001672880846353534,-0.003838745564566857,0.03766468226040483,0.03988482428819534,0.04287957764119296,-0.016419787490714446,-0.0014240592208362539,-0.047969887572460304,0.05148246301031349,-0.006599758433214777,-0.009417623255880365,-0.00812580873218002
1,-0.044046113873171,-0.0030860739341440745,0.004394489732140286,0.008804867175710506,-0.009107540830617912,-0.022924900685350122,-0.002480724776005413,0.021798504245647967,-0.003537024454851311,-0.042704613343874154,0.01522466706212516,-0.07192379946779176,-0.07311191160881479,0.03306229791426679,0.0008695845837451768
2,-0.06555120699336908,-0.017685647373228724,-0.012123633873430621,0.02738271771636883,-0.008939566832551498,0.019963327886448876,0.0008041927766375611,0.049996696787326544,0.05016575187577407,-0.03135404052613362,-0.006025174522881829,0.04931899675689512,-0.02300787390655002,0.05924853162215041,-0.04548174694851109
3,0.012494760182475997,-0.0016276175025180515,-0.013619851273786452,0.026875429735275472,-0.0061957751472946085,0.009007329458371273,-0.0843264978424524,0.031771461178386834,-0.0017230428399490159,0.004156536746766269,0.008712038603436235,0.004759974590473115,0.004193066021603492,-0.0005813947256991464,-0.015554769193744697
4,-0.011185547265897527,-0.02657687619824505,-0.01643333695540148,0.019483995535726533,0.010020073459968332,-0.02437548293802181,0.018491725859613877,-0.025156435318882467,-0.008816939951841348,-0.01327048330847531,0.006190241510767507,0.0060739995819614825,-0.07738537719064227,0.0037959972230870807,-0.027011317051634388
5,-0.027568117417818436,0.0017452763160573821,0.00466501940394513,0.008205754614457342,0.0040142976014466685,0.012756331487263224,-0.020023514093595186,0.02508779883883145,0.004940959546108325,-0.04813634064227438,0.04562625870008996,0.0201346128177541,0.027034837528401513,0.0021889178631236223,-0.01106452915643509
6,-0.0047089583091252,0.04448287731498388,0.00018490698533112603,0.008539954503585799,-0.010413710616481648,0.003237120662228676,0.07960902982275833,0.01871894665304554,0.019601433525576542,0.007387460969186153,-0.0004497474731930077,-0.023117514433868065,-0.009527336117654278,-0.005039998461592466,-0.06139789965373477
7,-0.030662739590766097,0.004458238299788805,-0.011394575646788745,-0.016118491051799397,-0.005891744659251012,-0.0003656812716672925,0.0635927734886176,-0.020292919412378457,0.03139726261777683,0.04664979951064672,0.031671578970139426,-0.0035407961068919178,-0.06345649302421416,-0.014464423779021629,-0.013439238899282495
8,0.05853725777565197,-0.0030180064845867546,-0.0019414228408609034,-0.000422306400673254,0.0455031575769002,-0.03850294423210051,-0.08020491854393023,-2.7359025216344007e-05,-0.003716784133340021,-0.03262381653428192,0.030712270932230373,-0.046588774684987615,0.01641432124412793,-0.030156736601246577,0.04910257272821118
9,-0.029096792490153955,-0.011408675172805145,-0.05965364362333149,0.03611337830991919,0.01846499777648334,0.015470584717683087,0.0020348477166981776,0.023198354103331525,-0.0033301836281511266,-0.001713226149720408,-0.005719303936902131,-0.004653152272711767,0.015634068641225435,-0.008902615950994328,-0.026840356671328478
10,0.0038488853702805794,-0.0031816582477931996,-0.07359209679688675,0.0048839247100347285,-0.0067144733410027515,-0.018710391624588173,0.0019359486281088677,-0.01930242941100969,-0.012619971627874434,0.005362569623464123,-0.011779741203403232,-0.07073703402108561,-0.01072501646759437,-0.029663439324162922,-0.017595520252674367
