Date,CRIX,ETH,expected_return,abnormal_return
2017-09-08,-0.0142113353673325,-0.0360208660548524,-0.005848025191525356,-0.03017284086332704
2017-09-09,-0.0261250771612084,-0.0564608312233216,-0.011152681712512784,-0.04530814951080882
2017-09-10,0.0095301919132486,-0.0287714715705682,0.004723015350235717,-0.033494486920803916
2017-09-11,-0.0152314810545037,0.0105397982870787,-0.006302250452189611,0.01684204873926831
2017-09-12,-0.0548869305803823,0.0184257761750812,-0.02395904900965639,0.04238482518473759
2017-09-13,-0.2439594870869941,-0.0919843787500598,-0.10814460440990209,0.016160225659842292
2017-09-14,0.1409338894803671,-0.0823231122501662,0.0632312064157484,-0.14555431866591462
2017-09-15,0.0033963126835878,-0.0687355698525058,0.001991873193764331,-0.07072744304627013
2017-09-16,-0.0053533447180456,0.0797993915249533,-0.0019039580232458433,0.08170334954819915
2017-09-17,0.1206318259696308,-0.0181730100100594,0.054191605301756846,-0.07236461531181625
2017-09-18,-0.0178068789903429,0.1310115179807924,-0.007448959999102028,0.13846047797989444
2017-09-19,-0.0169250587182485,-0.00356977373134,-0.007056324860819192,0.003486551129479192
2017-09-20,-0.0717589839427308,-0.0031679985878447,-0.03147141997081289,0.028303421382968187
2017-09-21,0.0061472954830303,-0.0350326079397627,0.0032167628295031426,-0.03824937076926584
2017-09-22,0.0446497828495102,-0.0524627078651231,0.02036019888985336,-0.07282290675497646
2017-09-23,-0.0190812688066621,0.0460974429908311,-0.008016388802443444,0.054113831793274544
2017-09-24,0.0442142998382086,0.0363347122995234,0.020166297776697817,0.01616841452282558
2017-09-25,-0.0031821422238236,0.0206562938084191,-0.0009372186336714188,0.02159351244209052
2017-09-26,0.0666053695390251,0.0033412330644555,0.030136039941277542,-0.026794806876822043
2017-09-27,-0.0105620844055414,0.0152221091445534,-0.004223176907408982,0.01944528605196238
2017-09-28,-0.0089363638105792,0.0250567366257437,-0.003499316217411252,0.02855605284315495
2017-09-29,0.0333537523891722,-0.0390355827966919,0.0153305816059278,-0.054366164402619696
2017-09-30,0.00883411293632,0.0277815747587135,0.004413082505628944,0.023368492253084558
2017-10-01,0.0018601013428538,-0.002709393606711,0.0013078669724419605,-0.004017260579152961
