date,price
2017-09-06,996.9480127202144
2017-09-07,929.776823046115
2017-09-08,916.6568994241428
2017-09-09,893.019278938966
2017-09-10,901.570607226881
2017-09-11,887.942403939024
2017-09-12,840.5193292264436
2017-09-13,658.5631805802369
2017-09-14,758.235749358909
2017-09-15,760.8153331084987
2017-09-16,756.7533087727433
2017-09-17,853.7762406850779
2017-09-18,838.7077103949849
2017-09-19,824.6319853918034
2017-09-20,767.5305049666991
2017-09-21,772.2632737330301
2017-09-22,807.5260405120619
2017-09-23,792.2634964987906
2017-09-24,828.078812405819
2017-09-25,825.4479359837103
2017-09-26,882.2994944490259
2017-09-27,873.0296135270517
2017-09-28,865.2626591363376
2017-09-29,894.6091020735334
2017-09-30,902.5471912783792
2017-10-01,904.227582885698
2017-10-02,891.6434184617434
2017-10-03,878.2546579867087
2017-10-04,892.5294560580985
2017-10-05,910.8554304429504
2017-10-06,920.673639170352
2017-10-07,949.0601369849678
2017-10-08,952.469515045989
2017-10-09,961.289591632782
2017-10-10,969.1348807128406
2017-10-11,1033.6441276411704
2017-10-12,1098.967859853165
2017-10-13,1107.444223080145
2017-10-14,1110.1854984950046
2017-10-15,1110.051277176198
2017-10-16,1084.636152430228
2017-10-17,1071.6603185083225
2017-10-18,1077.6463402313348
2017-10-19,1104.2253526659492
2017-10-20,1113.1323277379531
2017-10-21,1103.4474155494552
2017-10-22,1089.9306767907344
2017-10-23,1048.7700726428914
2017-10-24,1068.635516226856
2017-10-25,1089.2048549583822
2017-10-26,1080.903797941199
2017-10-27,1081.3101407300207
2017-10-28,1139.7351964223374
2017-10-29,1139.689737661888
2017-10-30,1169.2848801984132
2017-10-31,1214.29456807167
2017-11-01,1266.7237289221275
2017-11-02,1310.874315151682
2017-11-03,1321.4767260436893
2017-11-04,1323.6667385816893
2017-11-05,1285.1266009236397
2017-11-06,1293.894958859326
2017-11-07,1344.7054887791885
2017-11-08,1325.822404997238
2017-11-09,1282.392848019875
2017-11-10,1304.4430127648973
2017-11-11,1256.2163547273658
2017-11-12,1308.8443720754606
2017-11-13,1348.0421361266103
2017-11-14,1420.2018544821203
