,2017-10-16,2019-02-28,2019-12-08,2020-01-02,2020-10-14,2020-12-01,2021-04-15,2021-08-05,2021-10-27,2021-12-09,2022-06-30,2022-09-06,2022-09-15,2024-03-13
0,-0.053454121282211386,-0.009260369842478189,-0.003886135495964612,0.030012604648403225,0.005026994401836892,-0.012497006428594507,0.03052425865830131,0.027124876047400687,-0.024009120405244555,0.008865022310472412,-0.03064261137263742,0.001058934307011438,-0.0038667051449507803,-0.012887634026683114
1,-0.02703374658266929,0.00672866902881187,0.009197281925997452,0.01213597712122263,0.002203865346941822,-0.026994611662489263,-0.011483995379202853,-0.001678075917525885,-0.018552080615506054,0.025679412140400384,0.01892543159515058,-0.016922738966216204,-0.0008301410233229924,-0.0012479790736047193
2,0.013158800887742208,-0.01977078061280359,0.0019400503638659604,0.029194988764878894,0.004103201229554361,-0.025094545312428745,-0.030833489387291583,0.037199875769763815,-0.05865402986133137,-0.0030392473099593734,-0.01974116066204408,-0.029138280419865138,0.0737099443178077,0.0032783146122268778
3,0.022456131713681743,-0.0037176008124082775,0.004137850870712929,0.0016950148526595184,0.053392172148019064,-0.012161714313875426,-0.0024142993179766645,-0.039612431619924525,0.04020499167295903,-0.006513769359166656,-0.02960010602389105,0.024065140614021176,-0.0043220349918795175,0.0017527698910902376
4,-0.08122485707416126,-0.000446026647506433,0.015942346321436297,0.005217358174084742,-0.004274652539947573,-0.024905178461642682,-0.001801914667283168,0.02923574841453488,-0.020926694785161237,-0.018319781743969952,0.0019769580674847543,-0.01032079371445176,0.044152082657785405,0.002001395161136288
5,-0.08526209618460885,-0.009916690204029287,0.015830584071471417,-0.01870687732347078,0.01556727849786605,-0.02500817652331617,0.03494059120474952,0.025877905222744788,-0.017090344015885463,0.014153129012421793,0.019001324132499345,0.012307021109318275,-0.0005702177402183116,-0.0071677929958480525
6,-0.06677953770694667,-0.03984556358452986,0.002331245462957064,0.0077434879459122585,0.00961389305440394,-0.0018151258968174423,-0.02530926998816696,0.011314442692098612,0.004846691222150206,0.0040262238711993165,0.02640129453263703,0.03467096791599645,-0.023606625008949077,-0.007665585296621857
7,0.082066827395029,-0.010138851040986562,0.009186343346889485,0.0030033729879090235,-0.020798520669779323,-0.002741969976495423,-0.019290612054616307,0.0029798439663700944,0.05604887552812399,0.014560712543668254,0.047746271801092074,-0.01748447836005251,-0.015242466294934635,-0.008900635255734908
8,-0.020389435574224016,-0.011440354035371997,-0.006409901432147486,-0.004937893852323075,0.003999954945961774,0.0006125276361623232,-0.017015084146891186,0.03139724181487424,-0.04187590813159727,0.003906242772099394,0.016987726800601892,0.021067856351344734,0.001201631349513504,0.02797042680785918
9,0.13372217999993588,0.016155386865516465,0.009288263671706333,0.00023403202750425648,-0.024312473026029475,-0.04175201825340116,0.019148939834701166,-0.03704876141175513,-0.013604893550210417,-0.015705343456380194,-0.03888312950288843,0.00156202802126015,-0.005053749679888485,0.005285850905696263
10,-0.0008904960401169728,-0.0237523064624676,0.016254775631993814,0.01403633276926303,0.042543328916323855,0.01091059075795041,-0.00909971138831039,-0.05102866007477599,0.008440640284351208,-0.0012057775655529828,0.012609713459775924,-0.008679758904196097,-0.030370964112309086,0.018984230237809572
11,0.0014628399201001008,-0.004188906270158694,-0.006188427377258807,0.002856124358838038,0.010491522857433926,0.008244698608081871,0.014666586870217078,0.005294752568812021,0.00850283884898248,-0.011137383204095762,-0.0004349434219133863,0.07296149581357884,-0.06933741399261645,-0.011750327645078561
12,-0.03317448434656215,0.014553505887501667,0.00971897044477444,0.008275540900698763,-0.007784516466337755,0.05953518671642397,-0.023884664535396064,-0.010242805942198972,0.05274664612118331,-0.013598170450711954,0.026335429708514838,-0.008629391066199005,-0.015098345669604423,-0.026895623118698923
13,-0.051974902836262694,-0.014851182148205393,0.004973985470829826,0.005872006202858282,-0.00942219709431426,0.0407015989652321,0.006286415146452692,0.016989742334123904,0.015885869085079423,0.020925497249080712,0.030212124778963723,0.04353256122187476,-0.012531100394643009,-0.005069023741951608
14,0.04885346104131058,-0.0062703984538812225,-0.004902603064537596,-0.009423566307463969,-0.03173506353696161,-0.040167675748389156,-0.04323299626809189,-0.030006845244734195,-0.018836956867704285,-0.049675657573372854,-0.03496679558929612,0.0013403036217665204,0.023713269799234726,0.021335430222701828
15,0.036838016338854515,-0.015576732287261846,-0.004277468512621936,-0.009295384988096244,-0.042155233458028844,0.004239072666411291,0.008189182751431167,-0.031059453514955895,-0.0016936576160930042,-0.029025610772294364,0.042007426137005734,-0.021902671579756065,0.018254929809689513,-0.006793158850646115
16,0.02284645573365964,0.009660743235355424,0.014287389863206316,-0.010296090552472277,-0.0013347969407353569,-0.010064225545412545,-0.04812587205606055,0.024719256489510594,-0.0013799591418692386,0.023713040113497532,0.011875832993594806,-0.013212845258858647,0.023137894816240807,-0.013392528849088967
17,0.003047630187243469,-0.03023911071815745,0.01680051515658732,0.011473844123971086,-0.02807624032707477,0.016796157032087585,-0.004955558415684406,-0.0014536893235056365,0.026896975440418643,-0.02909846765085717,0.00905813256009834,0.005649995650630581,-0.011556874820123145,-0.004493428389672191
18,0.017674926094626675,0.07097088435623894,-0.02267028720673198,0.001251868895916333,0.03566662200808003,-0.023011560917547486,0.02611442064110995,-0.020780348614359997,0.009592371939152453,0.02112403776326892,-0.047796511478625854,-0.0039671453027287605,-0.08574166554743905,-0.02066245743321264
19,0.027451693544840214,-0.013445369428172788,0.0022956816171512463,-0.004526652084395991,0.013059607394993513,0.003062639405872975,0.0009814252654333192,0.0214323168630964,-0.013706772027911965,0.013462161780762748,-0.0325200169999921,-0.010548464836175886,0.004670487564362705,-0.010223400897580781
20,-0.0381457476315492,0.03408090102787484,-0.0033821309856455137,-0.003995553934633743,0.005708829448284238,-0.009338285466164995,0.011750309622139254,-0.014546043639755958,-0.0028223869896639095,-0.01671674518275711,-0.03492674348521352,-0.0690108762131837,-0.015128145211463918,0.009827366746125232
21,0.029544073469287863,-0.011913485792657637,-0.0673554018334228,-0.06457263356271532,0.02026396737370066,-0.02421843609506223,0.027117984236510934,-0.020391500186325788,-0.02021839339039248,-0.01120971492107941,-0.04836614089820107,-0.019832295502627464,0.05178419216111362,0.0046842686751946555
22,-0.0006986870994951668,0.019701830973924396,-0.02085343135662241,-0.050231445976385625,-0.019554602980392244,-0.02149261079702631,0.00560381118920712,-0.0032634649140270283,-0.010631456843164192,0.01858676690999182,-0.05085748685796288,-0.01038374329167327,0.014134273770483189,0.021257322611773877
23,-0.00010767538376161168,-0.0013815030066673382,0.020496001528741113,0.027960096980899882,0.004622625566988329,0.0061482201117096895,0.04021753893740278,0.04539023990712772,-0.011254301504277992,0.007611709964502299,0.08605937065542789,0.021097933306255885,-0.014924136416851662,0.001334064989611982
24,-0.017669550816902684,-0.00950182667410478,-0.05416547112026166,0.005506169885561069,0.017720405059801825,0.005776682167103531,0.031406651794634685,-0.0012773576765148648,0.0517756364563078,0.007589881029650795,-0.046881008283883994,0.01962917865021084,0.02549693013383728,0.02310696146646761
25,0.0011726251887722592,-0.0010686761018707924,0.025852173431333177,0.003708311508349599,-0.03904046070999205,-0.015787684642110215,0.044292157967249564,0.024129588249512546,0.00017028978340322826,-0.033855282745428227,-0.015831627887492705,0.02052816775637463,-0.019745924221924498,-0.023968854300755463
26,0.0008866241037715906,0.0036832877753747717,-0.0017745671443618674,0.007778913368246389,0.008111497378094983,0.023326201669008235,-0.03358248943210468,-0.017316276889456247,0.020840137759575234,-0.032547035714419276,-0.01957244918030117,0.0034545514441976094,-0.0015523262854529175,-0.009776106549957161
27,0.025644091405301328,0.05150176032254232,0.03054965342558457,0.02514143376811178,-0.002234492097175169,0.03159784891886251,-0.0020437319897553055,0.039979767145318326,-0.009721922090349949,0.05215189547125953,0.08164642626170421,-0.08451199213942834,0.013134020984713505,-0.012272327454715952
28,0.02938907536966925,0.03229817381640499,-0.010655762181339285,-0.019290080881131582,0.008184345822726657,0.04018558446443302,0.01585970895953167,-0.06728275495017458,-0.013319802146988044,0.03662464776020248,0.04474024581753631,0.009142515612775508,0.04896317765316366,0.00616185703208778
29,0.010691121486447859,-0.03828639476895507,0.011165960826468986,-0.014563836458183932,0.0010135645917043468,0.05204712834674296,-0.021879876989381992,0.009214050622743376,-0.013315514358974587,0.03039738753960809,-0.014673006571920312,-0.023212449707389535,-0.06519346513075722,0.026057537882683442
30,-0.03010123532080209,0.015676985603129218,-0.01372748572079179,0.006742536635983747,-0.030570426195947832,0.013866688574691349,-0.02214641706285818,-0.005291178188041361,0.015662230200638946,-0.03172978058204122,-0.009889971085823632,0.05568927386618499,0.052319466669383564,0.010129066637386285
