Date,crix_price,crix_return,eth_return
2017-09-08,916.6568994241428,-0.014211335367332545,-0.03602086605485244
2017-09-09,893.019278938966,-0.026125077161208488,-0.056460831223321684
2017-09-10,901.570607226881,0.009530191913248665,-0.028771471570568252
2017-09-11,887.942403939024,-0.015231481054503782,0.010539798287078739
2017-09-12,840.5193292264436,-0.0548869305803823,0.018425776175081232
2017-09-13,658.5631805802369,-0.2439594870869941,-0.09198437875005983
2017-09-14,758.235749358909,0.1409338894803671,-0.0823231122501662
2017-09-15,760.8153331084987,0.0033963126835878654,-0.06873556985250584
2017-09-16,756.7533087727433,-0.005353344718045605,0.0797993915249533
2017-09-17,853.7762406850779,0.12063182596963085,-0.018173010010059443
2017-09-18,838.7077103949849,-0.017806878990342945,0.13101151798079247
2017-09-19,824.6319853918034,-0.016925058718248565,-0.0035697737313400424
2017-09-20,767.5305049666991,-0.07175898394273084,-0.003167998587844778
2017-09-21,772.2632737330301,0.0061472954830303905,-0.035032607939762705
2017-09-22,807.5260405120619,0.04464978284951027,-0.05246270786512319
2017-09-23,792.2634964987906,-0.019081268806662166,0.04609744299083118
2017-09-24,828.078812405819,0.04421429983820868,0.03633471229952345
2017-09-25,825.4479359837103,-0.003182142223823625,0.020656293808419157
2017-09-26,882.2994944490259,0.06660536953902518,0.003341233064455551
2017-09-27,873.0296135270517,-0.010562084405541405,0.015222109144553464
2017-09-28,865.2626591363376,-0.008936363810579273,0.025056736625743703
2017-09-29,894.6091020735334,0.033353752389172264,-0.03903558279669195
2017-09-30,902.5471912783792,0.008834112936320082,0.027781574758713568
2017-10-01,904.227582885698,0.0018601013428538593,-0.0027093936067110747
2017-10-02,891.6434184617434,-0.014014782119057934,-0.0026833751940733563
2017-10-03,878.2546579867087,-0.015129702723167604,-0.02028493108699969
2017-10-04,892.5294560580985,0.01612292225009515,-0.00033046195133579204
2017-10-05,910.8554304429504,0.02032467431409657,-0.00046692103918566374
2017-10-06,920.673639170352,0.010721427182954102,0.0239487629459445
2017-10-07,949.0601369849678,0.03036654680275319,0.028392924390911567
2017-10-08,952.469515045989,0.003585935891973868,0.008741838104941557
2017-10-09,961.289591632782,0.009217606338437712,-0.031850085351403656
2017-10-10,969.1348807128406,0.008128090359962314,-0.008481628931150453
2017-10-11,1033.6441276411704,0.0644420272822801,0.005049102822527907
2017-10-12,1098.967859853165,0.06128088380610475,0.014338097130855765
2017-10-13,1107.444223080145,0.00768342866931615,0.058023511025468544
2017-10-14,1110.1854984950046,0.0024722583616432203,0.05367858818909799
2017-10-15,1110.051277176198,-0.0001209072117358545,-0.027612062575567364
2017-10-16,1084.636152430228,-0.023161622541509885,0.022288113576207635
2017-10-17,1071.6603185083225,-0.01203544199747597,-0.045549544981396295
2017-10-18,1077.6463402313348,0.005570203001141749,-0.06445717052006295
2017-10-19,1104.2253526659492,0.024364702442452923,0.016361663143420024
2017-10-20,1113.1323277379531,0.008033907256434603,-0.00972802556191077
2017-10-21,1103.4474155494552,-0.008738664917889771,-0.028585155009166918
2017-10-22,1089.9306767907344,-0.012325198210665356,-0.006255138908798585
2017-10-23,1048.7700726428914,-0.038495976739880255,-0.03607005386764417
2017-10-24,1068.635516226856,0.018764498007151076,0.06157792861208211
2017-10-25,1089.2048549583822,0.019065322958002895,-0.026011739124278677
