relative_day,2017-10-16,2019-02-28,2019-12-08,2020-01-02,2020-10-14,2020-12-01,2021-04-15,2021-08-05,2021-10-27,2021-12-09,2022-06-30,2022-09-06,2022-09-15,2023-04-12,2024-03-13
-3,0.05982696303855969,-0.12988247762418234,-0.007466773964869582,0.02441400231885318,-0.0034892922149805205,-0.000501863073341817,-0.003624823480567723,-0.001319276896089885,0.013010956596629864,-0.022778191416029474,-0.00042751983118942405,-0.0186521922034907,-0.019446670204285265,-0.017725021310550128,-0.01348477291969256
-2,0.05566750778890815,-0.008061343213274947,0.008466528362272576,-0.011788310041905678,0.009016880872764428,0.029555696484695353,0.004610578362968711,-0.013425946985034302,0.0019173673629577712,0.05013492370110215,0.016612348206436957,-0.0033355459157080485,-0.011961131215110596,-0.009555470002677629,-0.002383139178197411
-1,-0.025530851200117055,-0.00540929877279993,0.002335076924239023,0.0005700852010272054,0.01322041624142233,0.04224037770531578,0.05328335077196018,-0.009575721363346931,0.027800584439383547,-0.00687551590858082,-0.036274264622425265,0.013102448149127546,-0.04205123147369341,0.014205291145132484,-0.008273946240644627
0,0.02518935300988541,-0.0018652418601676156,0.005894323181273956,-0.003507563583892398,-0.004381388798515738,0.022066895844152713,0.03588716315163538,0.029278808584991173,-0.007361661937162228,0.00924784469697686,-0.029497410610016504,0.056713340435132514,-0.0077512156742563995,-0.012969623520803008,-0.01364707780808869
1,-0.043044290659136494,-0.00793769702466603,0.011951203851932383,0.008036327283343955,-0.009280368172554938,-0.03252435641606212,-0.0008897334391240099,0.0037138165072472702,-0.01763516108940831,-0.03605798203816034,0.022975431159157025,-0.07079050630249101,-0.06860177666250075,0.025939572700364497,-0.02963916367084099
2,-0.06257850798002118,-0.021010935634095618,-0.005339178179079087,0.02603285624836402,-0.01111120332133421,0.00963496029125787,0.001389507631589816,0.021454463249761094,0.04184576096113352,-0.03649414021443177,0.005199123982011836,0.052104620965143136,-0.014662684483142773,0.053307986721794653,-0.06490933382220443
3,0.017571422107264957,-0.004607982812684753,-0.007861492241125959,0.025461498695040052,-0.006414365549948517,-0.006971056904642453,-0.07715802996805737,0.04357210048180962,0.00014752657050894243,0.002929864435234193,0.018148937366661705,0.0034609215571179547,0.002025224407468936,-0.004442232698921656,-0.02673215502032597
4,-0.00793704721863105,-0.022603170511421748,-0.011820070937216758,0.018796626586037264,0.010908010529489674,-0.033462299513930434,0.018409957203231485,-0.045897779040110116,-0.010202028441344895,0.001361504526484987,0.006974490759626282,0.007762824479300108,-0.07005517042936182,-0.0007483346104484746,-0.04046926078631949
5,-0.026197234270881855,-0.01624313247197249,0.00885406428672146,0.007262962953634185,0.005277532935985967,0.002408801312069152,-0.02740991825579952,0.020270570464412843,0.002651957419370585,-0.052144869590017004,0.0571616363308182,0.02328915282275377,0.0280648767830829,0.001340360487271171,-0.019288366909970628
6,-0.003739572049733396,0.03915957588179975,0.008000959319614049,0.006941211024265261,-0.010667092557253783,-0.009018366259613443,0.08168160940336909,0.009705399137093855,0.009930359874888783,0.004730208664302996,0.004885346025224857,-0.020628866246313982,-0.008058188249440476,-0.012190539769228646,-0.08044698043728338
7,-0.03262305877848914,0.0001251261380747228,-0.007242862192636477,-0.017876566852373425,0.00035222567662583637,-0.01669149497885882,0.06599682404760739,-0.009411852283142001,0.027303839943787087,0.05159196303438096,0.03326670505013707,0.00430424810251577,-0.05095796851949404,-0.010922579521833928,-0.025439445648478692
8,0.06298700103920411,-0.004920453439628613,0.007846154756101412,-0.00129420646281356,0.047428115831523045,-0.048454422419233506,-0.08055308703939311,-0.03734720479952657,-0.0007023445957066773,-0.02734711355260165,0.040139946666405114,-0.04448407440260352,0.02200896847346874,-0.03240353471274871,0.046640453652378115
9,-0.024613373174658813,-0.021730713940712985,-0.04805639820158921,0.03457142897953138,0.017667226625066774,0.002432820327592818,0.004547749504492859,0.020839568061212482,-0.004607013064265362,-0.0034344944766897794,0.006378232480922334,0.0008341239969114379,0.01850193458907752,-0.008423339418305998,-0.04285677379854972
10,0.005341595285325835,-0.005905292582743813,-0.07985847354204581,0.0037161565953541032,-0.0058085240875922,-0.03185135777217889,0.0008299025474751984,-0.022612126401243864,-0.01669334416319352,0.007581557010179313,0.005007877759156284,-0.06756812039562597,-0.00701495001485746,-0.036396487580936186,-0.027888405245061733
11,-0.00035063612805038896,-0.0031933675700142085,0.03244449640943359,0.0031085952263537513,-0.0029263269219148963,0.00357394735627568,0.04112201719638944,0.03333574189580597,0.01550118861178548,-0.027382886595803572,0.008091493820783897,-0.018744394404935753,-0.007603203318260938,0.0021843765722792856,-0.012900973498495269
12,-0.0050257690851329365,-0.012080817542540818,0.0024076790043140676,0.048666391304299686,-0.01770872179543368,0.023497661196574905,0.02460449930973435,0.00904007599040059,0.004593783687661928,0.016910043224511374,-0.032936712881350846,0.011966262749376542,0.0388648993936778,-0.00923673984951873,0.02323673115201956
13,0.026854815949736252,-0.006794274716183365,0.005266007769638644,0.06922993889579193,-0.019266134830241748,-0.002810782647849908,0.034775187278829535,-0.052863130924512766,0.016715403604139943,0.0037725526962164276,-0.018807540644523352,-0.07278305134482926,-0.041285888424488784,-0.023248846096184904,0.010902359490114831
14,0.017659566358604953,-0.0067215107570035935,-0.006882243882725776,-0.009781032633427974,-0.0007407931007028332,-0.0051929076437457825,0.02313553458662872,-0.02156500897986041,0.006646580300849454,-0.028061096845104272,0.047849716119293256,0.03374043942720398,0.014058135281658703,0.029904011568784167,-0.02889815318890858
15,0.0020784567447192925,0.002078636004739204,0.03046380151514206,0.03777756750280819,-0.016773131695093358,-0.012731786977642136,-0.023490497329863493,0.008777289706322224,-0.014131047002226161,0.02627682641059216,0.08446081403644537,-0.0029683281991764246,0.006543148547385332,-0.017495111615289046,-0.017717256576713466
16,-0.02595512831612734,0.02019317053802466,-0.016994230067566722,0.024773804017284722,-0.01609777168077041,0.051067390566539805,0.030363117792007698,0.014136673804504257,0.0009520739574573316,-0.010719460441850775,0.018603026099661038,-0.060579581452328155,-0.006625562910897807,0.0038022214686685768,-0.019976540097338364
17,-0.047711250840513086,-0.01038465361479388,-0.012936968380811336,-0.003291164551670259,0.005877775497938269,-0.02044529171883711,0.02490590700938672,-0.0224889763494714,-0.009404850002448612,-0.0054856846689617786,0.0948339646846893,0.021596054034001184,-0.009874355108044894,-0.0030824876574148978,-0.019377744311483466
18,0.037394165173833926,-0.007706340883491307,0.005197123836835824,-0.021213403299021223,0.006132125670367269,-0.002200168345036852,0.054403440014401575,0.0146434322996047,-0.011857210679201338,0.0024857327884721552,0.03194595647483414,0.02172612227020144,-0.006984965285078888,-0.0022062172393043614,0.00824261800359401
19,0.016312869878063217,-0.010399857372274673,-0.005610276900602418,0.012076061777252341,0.010850616843991925,-0.014045911013272365,0.08096665844739015,0.017887011346064418,0.023253906329893125,-0.016221271712644772,0.056809529428725976,-0.004914126815906979,0.019385240078191385,-0.019384374307162472,-0.033029480695715534
20,-0.0024977392810400277,-0.009329309105767045,0.011783663630311799,0.00895140547949981,-0.03476340073137446,-0.034906136113301706,-0.034221394559235604,-0.04346609544143145,-0.04631601668067425,-0.013878136299897082,0.025582152422004588,-0.010733443629534385,0.0056376711919420425,-0.009674613887494887,-0.07080870826882978
21,0.003445645364615444,0.008224160671813877,0.021252358176583733,-0.018740569100536203,0.019068205738259937,-0.03606432491322864,0.035682386238498454,0.014260791182494941,-0.027167645312075914,-0.03159211047561529,-0.014948946043918214,0.03981097434028626,0.016856302420810952,0.0033370142333175225,-0.019668086439594817
