event_date,alpha,beta,residual_std,n_obs,r_squared
2017-10-16,-0.0020769082405585355,0.03559039059728732,0.04622094058349605,31,0.002367736843971402
2019-02-28,0.003345052036643925,0.8788089456872082,0.024525673379664586,31,0.4481506010047245
2019-12-08,-0.0028069901923993812,0.5455102311814479,0.02091084701939656,31,0.29793411767168787
2020-01-02,-0.0036772049803030175,0.2144120337583218,0.020319697620388565,31,0.07219239950627754
2020-10-14,-0.0006300330081862998,0.40860030309530393,0.022845186248131855,31,0.11986454586827722
2020-12-01,0.00830440221741812,0.327459081382231,0.026339374869446066,31,0.10835695541016888
2021-04-15,0.0029837506395333528,0.4458496333036894,0.025328143951864383,31,0.25092706914800844
2021-08-05,0.0006531129311712468,0.8407307853232402,0.02872370118808587,31,0.4688355078358174
2021-10-27,0.00041792264981199007,0.5147189743612935,0.02679301197332031,31,0.40268345969543706
2021-12-09,0.00228405380641657,0.49160031721319875,0.024193366957569972,31,0.3445447295642047
2022-06-30,-0.01286098362353478,0.5951657480203147,0.03777771109098882,31,0.413803032914983
2022-09-06,-0.0008130737272362941,0.5071611795682387,0.0318966095643891,31,0.20945047267464378
2022-09-15,-0.0006865463380878942,0.32884014154924573,0.03582504224707538,31,0.0816312973742036
2023-04-12,0.0032777806968068406,0.457681374506807,0.02456235009779575,31,0.27642784187438063
2024-03-13,0.014920504543228451,0.06629591032105045,0.014868814005308133,31,0.011881671582428366
